freq,unit,s_adj,na_item,geo\TIME_PERIOD	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 	2022-Q1 	2022-Q2 	2022-Q3 	2022-Q4 
Q,I15,NSA,RLPR_PER,AT	100.521 	100.592 	99.671 	104.378 	101.487 	101.065 	99.965 	105.591 	102.524 	101.811 	100.761 	104.837 	99.021 	91.909 	97.682 	101.061 	95.526 	99.597 	100.277 	103.915 	99.834 	103.001 	100.957 	105.018 
Q,I15,NSA,RLPR_PER,BE	98.777 	101.657 	94.567 	105.265 	98.627 	101.891 	94.934 	106.092 	99.088 	102.474 	95.804 	106.705 	97.381 	89.684 	92.906 	102.128 	96.769 	100.539 	94.895 	105.984 	99.346 	102.174 	94.996 	106.032 
Q,I15,NSA,RLPR_PER,BG	87.334 	98.789 	106.807 	120.953 	88.643 	101.190 	110.973 	124.970 	93.041 	105.355 	114.663 	128.239 	93.482 	99.278 	115.330 	125.839 	99.404 	106.236 	122.861 	136.987 	102.086 	108.959 	124.993 	139.249 
Q,I15,NSA,RLPR_PER,CH	100.018 	100.788 	100.672 	103.004 	101.657 	103.962 	102.043 	104.129 	101.801 	103.209 	103.356 	105.081 	100.929 	97.516 	103.022 	104.145 	102.353 	105.975 	105.739 	106.278 	104.738 	106.531 	105.303 	106.296 
Q,I15,NSA,RLPR_PER,CY	101.664 	102.754 	101.748 	102.594 	101.992 	102.423 	102.154 	103.356 	102.597 	103.705 	104.947 	105.488 	102.242 	94.167 	101.865 	105.119 	101.614 	104.197 	108.368 	110.564 	105.688 	107.397 	110.849 	112.287 
Q,I15,NSA,RLPR_PER,CZ	98.159 	106.354 	105.862 	107.752 	100.692 	107.890 	107.785 	109.569 	102.757 	110.597 	111.729 	112.750 	102.375 	101.080 	107.579 	109.949 	101.496 	110.203 	110.314 	112.157 	104.919 	111.381 	110.200 	110.746 
Q,I15,NSA,RLPR_PER,DE	102.289 	100.978 	102.577 	103.337 	102.061 	101.659 	101.439 	102.395 	102.292 	100.789 	102.591 	102.443 	100.988 	91.258 	101.419 	102.509 	100.067 	100.710 	102.481 	102.732 	102.393 	100.912 	102.621 	101.970 
Q,I15,NSA,RLPR_PER,DK	101.171 	103.979 	100.981 	105.326 	101.347 	104.463 	101.620 	106.083 	101.410 	104.325 	101.864 	106.133 	101.417 	100.033 	101.771 	106.672 	102.645 	105.562 	102.247 	108.981 	101.871 	105.360 	102.846 	108.455 
Q,I15,NSA,RLPR_PER,EA	100.515 	101.149 	100.494 	103.812 	100.932 	101.656 	100.288 	103.689 	101.068 	101.670 	101.218 	103.624 	97.977 	89.763 	99.413 	101.476 	98.615 	100.496 	100.886 	103.733 	101.095 	102.144 	101.543 	103.807 
Q,I15,NSA,RLPR_PER,EA12	100.616 	101.106 	100.376 	103.773 	101.013 	101.587 	100.134 	103.607 	101.111 	101.553 	101.012 	103.489 	97.972 	89.551 	99.129 	101.246 	98.512 	100.242 	100.525 	103.427 	101.011 	101.958 	101.255 	103.571 
Q,I15,NSA,RLPR_PER,EA19	100.515 	101.149 	100.494 	103.812 	100.932 	101.656 	100.288 	103.689 	101.068 	101.670 	101.218 	103.624 	97.977 	89.763 	99.413 	101.476 	98.615 	100.496 	100.886 	103.733 	101.095 	102.144 	101.543 	103.807 
Q,I15,NSA,RLPR_PER,EA20	100.528 	101.159 	100.531 	103.806 	100.906 	101.658 	100.339 	103.696 	101.026 	101.676 	101.263 	103.611 	97.946 	89.745 	99.414 	101.461 	98.605 	100.506 	100.952 	103.738 	101.087 	102.181 	101.618 	103.824 
Q,I15,NSA,RLPR_PER,EE	100.191 	108.857 	104.056 	110.910 	102.900 	109.153 	109.010 	114.752 	105.347 	112.168 	112.165 	116.728 	105.521 	108.951 	117.794 	124.415 	111.983 	124.142 	124.662 	131.348 	109.407 	117.158 	116.718 	121.375 
Q,I15,NSA,RLPR_PER,EL	92.175 	96.828 	102.876 	99.216 	91.069 	94.024 	98.770 	96.274 	88.282 	93.338 	100.610 	96.818 	86.498 	81.040 	92.469 	91.339 	89.664 	89.996 	97.710 	93.122 	89.900 	91.989 	100.193 	96.188 
Q,I15,NSA,RLPR_PER,ES	99.485 	102.529 	99.352 	103.549 	99.772 	102.699 	99.165 	103.604 	99.465 	101.737 	98.781 	102.675 	94.873 	85.936 	94.527 	97.018 	92.434 	96.830 	94.514 	99.892 	95.139 	99.873 	97.039 	101.769 
Q,I15,NSA,RLPR_PER,EU15	100.558 	101.155 	100.163 	103.647 	100.846 	101.511 	100.012 	103.644 	100.949 	101.421 	100.786 	103.865 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,I15,NSA,RLPR_PER,EU27_2020	100.282 	101.264 	100.754 	105.215 	100.969 	102.291 	101.055 	105.623 	101.566 	102.764 	102.446 	105.955 	99.002 	91.480 	100.662 	103.852 	99.480 	101.920 	102.457 	106.542 	102.325 	103.923 	103.552 	106.755 
Q,I15,NSA,RLPR_PER,EU28	100.314 	101.103 	100.717 	104.747 	100.847 	101.895 	101.010 	105.194 	101.333 	102.238 	102.187 	105.726 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,I15,NSA,RLPR_PER,FI	101.842 	104.301 	102.152 	109.723 	102.183 	103.210 	100.193 	106.875 	100.204 	102.137 	100.294 	107.348 	99.975 	98.893 	100.534 	108.612 	99.027 	101.470 	100.443 	108.269 	100.021 	101.694 	99.251 	106.748 
Q,I15,NSA,RLPR_PER,FR	101.699 	101.140 	98.943 	104.592 	102.456 	101.936 	99.852 	105.641 	103.232 	103.066 	100.937 	105.255 	97.369 	85.370 	98.326 	101.840 	98.631 	98.488 	98.603 	103.367 	100.170 	100.105 	97.551 	102.052 
Q,I15,NSA,RLPR_PER,HR	98.435 	103.671 	112.228 	102.647 	94.677 	104.320 	114.448 	104.530 	95.097 	105.860 	115.390 	103.259 	94.081 	90.321 	104.390 	99.636 	98.602 	107.270 	119.772 	107.975 	102.491 	114.288 	123.173 	110.752 
Q,I15,NSA,RLPR_PER,HU	92.466 	99.543 	102.625 	108.664 	94.792 	102.594 	106.021 	112.033 	98.014 	105.938 	110.532 	116.491 	99.198 	95.813 	107.222 	113.679 	99.520 	109.506 	112.177 	119.404 	104.404 	114.123 	115.054 	119.342 
Q,I15,NSA,RLPR_PER,IE	98.388 	98.390 	108.573 	111.468 	107.922 	107.435 	113.376 	111.465 	108.511 	109.706 	118.060 	114.492 	114.511 	119.473 	135.748 	123.158 	134.211 	129.957 	136.455 	127.334 	133.466 	134.507 	147.325 	138.851 
