Month,Total number of employees,Number of employees that left,Run
89,480,2,9
90,478,2,9
91,485,3,9
92,484,0,9
93,484,2,9
94,482,2,9
95,480,4,9
96,476,0,9
97,477,2,9
98,475,3,9
99,472,0,9
100,472,0,9
101,474,0,9
102,475,0,9
103,475,1,9
104,475,1,9
105,474,1,9
106,473,1,9
107,472,0,9
108,479,0,9
109,479,1,9
110,478,0,9
111,478,1,9
112,477,1,9
113,477,0,9
114,477,2,9
115,475,1,9
116,474,0,9
117,475,1,9
118,477,2,9
119,476,0,9
120,476,1,9
0,490,2,10
1,495,4,10
2,491,2,10
3,491,2,10
4,489,0,10
5,489,4,10
6,485,5,10
7,482,3,10
8,490,1,10
9,489,4,10
10,487,4,10
11,483,4,10
12,479,5,10
13,488,2,10
14,490,1,10
15,490,1,10
16,497,3,10
17,496,1,10
18,495,1,10
19,494,1,10
20,498,2,10
21,496,1,10
22,495,0,10
23,495,0,10
24,495,0,10
25,495,1,10
26,494,1,10
27,493,4,10
28,489,0,10
29,489,2,10
30,487,1,10
31,486,2,10
32,484,0,10
33,484,1,10
34,483,2,10
35,481,2,10
36,479,1,10
37,478,0,10
38,478,3,10
39,475,5,10
40,470,5,10
41,470,2,10
42,468,2,10
43,466,3,10
44,463,4,10
45,462,2,10
46,460,3,10
47,457,3,10
48,454,7,10
49,447,4,10
50,468,2,10
51,483,4,10
52,481,6,10
53,475,2,10
54,476,3,10
55,476,3,10
56,475,2,10
57,474,5,10
58,472,2,10
59,471,3,10
60,471,1,10
61,471,2,10
62,470,0,10
63,472,2,10
64,471,1,10
65,470,0,10
66,470,4,10
67,466,1,10
68,465,5,10
69,460,9,10
70,451,5,10
71,446,5,10
72,456,6,10
73,451,3,10
74,449,2,10
75,447,4,10
76,446,2,10
77,445,4,10
78,444,2,10
79,442,4,10
80,438,8,10
81,430,2,10
82,428,6,10
83,439,8,10
84,436,6,10
85,433,9,10
86,448,3,10
87,445,3,10
88,442,7,10
89,438,6,10
90,437,4,10
91,437,3,10
92,437,4,10
93,442,4,10
94,438,6,10
95,432,2,10
96,430,4,10
97,426,3,10
98,423,5,10
99,418,3,10
100,430,3,10
101,440,1,10
102,439,2,10
103,437,2,10
104,435,4,10
105,462,1,10
106,461,4,10
107,457,4,10
108,453,4,10
109,449,4,10
110,445,2,10
111,443,6,10
112,455,3,10
113,455,2,10
114,453,3,10
115,450,8,10
116,463,4,10
117,465,2,10
118,466,1,10
119,466,4,10
120,465,7,10
0,445,1,11
1,444,7,11
2,437,7,11
3,434,3,11
